Tickers
SPY
QQQ
SOXX
TLT
XLP
XLF
HYG
FXI
EEM
IWM
EWZ
LQD
XLE
SLV
GLD
VXX
VEA
XLV
XLI
EWJ
IYR
DPST
DIA
XRT
ITB
XLB
XHB
EFA
SMH
